n_estimators,oob_error(1-R²),train_error(1-R²),error_difference
10,0.9592168440449343,0.5088966180824402,0.4503202259624941
20,0.8581514273543933,0.47193908641936355,0.38621234093502976
30,0.828938859492501,0.4565189896990314,0.37241986979346964
40,0.8118193415611659,0.44916928199912887,0.362650059562037
50,0.8082375840339048,0.4553603958406143,0.3528771881932905
60,0.8148985937900526,0.4527104443985396,0.362188149391513
70,0.8125974351400094,0.4552525200877533,0.3573449150522561
80,0.8106869571546478,0.45936502213780783,0.35132193501683995
90,0.8093329517468191,0.4569626979305438,0.3523702538162753
100,0.8069960874936332,0.45835512274768864,0.3486409647459445
110,0.8071972229787053,0.4602969653215526,0.3469002576571527
120,0.8074717160944546,0.46236010551366014,0.3451116105807944
130,0.8061728468050624,0.46251126998705705,0.34366157681800535
140,0.8061281634304043,0.4634562898112251,0.34267187361917917
150,0.8054707195107002,0.46244507117724876,0.3430256483334514
160,0.8061768895148158,0.46339834791906154,0.34277854159575427
170,0.8059823668553724,0.4638711992083051,0.3421111676470673
180,0.8064139551316116,0.4629910628073848,0.34342289232422685
190,0.8052659993858303,0.46402933844752925,0.3412366609383011
200,0.804283466184405,0.4633208900949253,0.3409625760894798
