train_size,train_rmse_mean(kg),train_rmse_std(kg),val_rmse_mean(kg),val_rmse_std(kg)
274,13.553571781204596,5.208111755035951,13.10886081694615,11.369665498078025
548,12.147317766116226,7.491533760367816,12.6463250887056,11.433731143901133
822,11.867756370665168,4.822417133743504,12.51561328594074,11.398807857272915
1096,12.655062272282985,6.985734820179765,12.769387236655138,11.152102309608349
1370,12.073915770794615,7.173913719754637,12.136194877516576,11.588066823167821
1644,11.040293965649143,6.550431947128981,11.734589246386706,11.927128244748365
1918,10.320299339273515,6.1673459804276884,11.406409769631734,12.162596323193492
2192,9.6089556523394,5.713791018682561,11.369070250822901,12.249599082766823
2466,9.107579908620686,5.456056133482586,11.275048815665286,12.270609693949732
2741,8.615430997864674,5.133198593526981,11.275600414704423,12.290167065946122
