train_size,train_rmse_mean(kg),train_rmse_std(kg),val_rmse_mean(kg),val_rmse_std(kg)
274,13.230881990148733,5.377923264194675,13.114723600378559,11.344633667401633
548,11.970291362284698,7.02510163244178,12.75300022865757,11.525966931145893
822,11.842079827099788,4.554580963692385,12.586093803670012,11.44977600409963
1096,12.628321777375982,7.061151235180394,12.832276577596776,11.036137063302965
1370,12.024500975669474,7.178375804936456,12.245402242576743,11.578797546869366
1644,11.061996607712837,6.563611115650613,11.73067669683865,11.901101647846485
1918,10.320712458089384,6.215776541216313,11.423947819948383,12.22066623604587
2192,9.674942937466582,5.844080473351866,11.274338984774799,12.237267195212754
2466,9.1646142991084,5.60879239003005,11.282906893751806,12.299134462592646
2741,8.656972783939391,5.216772012743306,11.259075926755113,12.286872345125861
