n_estimators,oob_error(1-R²),train_error(1-R²),error_difference
10,0.9534488480233438,0.5552249783932034,0.39822386963014045
20,0.8934638092266926,0.5533002107285985,0.3401635984980941
30,0.8707583327878826,0.554689743261139,0.31606858952674366
40,0.8661946050331758,0.5540116157005387,0.3121829893326371
50,0.8641889111217577,0.5554510430659594,0.3087378680557983
60,0.867488091334491,0.5482222914839372,0.3192657998505538
70,0.8640057790876468,0.5487133925206013,0.3152923865670455
80,0.861902343103548,0.5455933052322778,0.3163090378712702
90,0.8593231029522032,0.5440575968515466,0.3152655061006565
100,0.8557465788897034,0.5423159373155244,0.313430641574179
110,0.8552872201774264,0.5421646502918602,0.3131225698855662
120,0.8555101414220704,0.5412939359690467,0.31421620545302364
130,0.855966200200687,0.5436530657520093,0.3123131344486777
140,0.8550638367391209,0.5406026596969551,0.3144611770421658
150,0.856448560012954,0.5405922650688804,0.31585629494407363
160,0.8570647886286781,0.5409709095379699,0.3160938790907082
170,0.857469751790138,0.5390293778030425,0.31844037398709546
180,0.8574704006385441,0.5401751777146766,0.31729522292386747
190,0.857570199730487,0.5396580686759689,0.3179121310545181
200,0.8578678684573645,0.5407858180273896,0.31708205042997495
